No,Nama Prodi,Nama PT,Jenjang,LLDikti,
243,KEBIDANAN,AKADEMI KEBIDANAN MITRA SYUHADA PADANGSIDIMPUAN,D-III,1,
244,KEBIDANAN,AKADEMI KEBIDANAN MUHAMMADIYAH BANDA ACEH,,,
245,KEBIDANAN,AKADEMI KEBIDANAN MUHAMMADIYAH KOTIM,,,
246,KEBIDANAN,AKADEMI KEBIDANAN MULIA MADANI YOGYAKARTA,,,
247,KEBIDANAN,AKADEMI KEBIDANAN MUNAWARRAH BIREUEN,D-III,1,
248,KEBIDANAN,AKADEMI KEBIDANAN MUNAWARRAH BIREUEN,,,
249,KEBIDANAN,AKADEMI KEBIDANAN MUSLIMAT NAHDLATUL ULAMA KUDUS,,,
250,KEBIDANAN,AKADEMI KEBIDANAN MUTIARA MAHAKAM,D-III,11,
251,KEBIDANAN,AKADEMI KEBIDANAN NAMIRA KOTANOPAN,D-III,1,
252,KEBIDANAN,AKADEMI KEBIDANAN NURUL HASANAH,,,
253,KEBIDANAN,AKADEMI KEBIDANAN NUSANTARA 2000,,,
254,KEBIDANAN,AKADEMI KEBIDANAN NUSANTARA INDONESIA LUBUKLINGGAU,,,
255,KEBIDANAN,AKADEMI KEBIDANAN NUSANTARA JAYA,D-III,9,
256,KEBIDANAN,AKADEMI KEBIDANAN NYAI AHMAD DAHLAN YOGYAKARTA,,,
257,KEBIDANAN,AKADEMI KEBIDANAN PALU SULAWESI TENGAH,,,
258,KEBIDANAN,AKADEMI KEBIDANAN PALUTA HUSADA,,,
259,KEBIDANAN,AKADEMI KEBIDANAN PAMENANG,D-III,7,
260,KEBIDANAN,AKADEMI KEBIDANAN PANCA BHAKTI,,,
261,KEBIDANAN,AKADEMI KEBIDANAN PANCA BHAKTI PONTIANAK,,,
262,KEBIDANAN,AKADEMI KEBIDANAN PANTI WILASA,D-III,6,
263,KEBIDANAN,AKADEMI KEBIDANAN PARAMATA RAHA,,,
264,KEBIDANAN,AKADEMI KEBIDANAN PASAMAN BARAT,D-III,10,
265,KEBIDANAN,AKADEMI KEBIDANAN PATRIOT BANGSA HUSADA LAMPUNG,,,
266,KEBIDANAN,AKADEMI KEBIDANAN PAYUNG PELALAWAN,,,
267,KEBIDANAN,AKADEMI KEBIDANAN PELITA ILMU,D-III,4,
268,KEBIDANAN,AKADEMI KEBIDANAN PEMERINTAH KABUPATEN KARO KABANJAHE,D-III,,
269,KEBIDANAN,AKADEMI KEBIDANAN PEMERINTAH PROVINSI BALI SINGARAJA,D-III,,
270,KEBIDANAN,AKADEMI KEBIDANAN PEMKAB MUARA ENIM,,,
271,KEBIDANAN,AKADEMI KEBIDANAN PERMATA HUSADA SAMARINDA,,,
272,KEBIDANAN,AKADEMI KEBIDANAN PERSADA PALEMBANG,,,
273,KEBIDANAN,AKADEMI KEBIDANAN PERSADA WAJO,D-III,9,
274,KEBIDANAN,AKADEMI KEBIDANAN PETRO MANDAU HUSADA,D-III,10,
275,KEBIDANAN,AKADEMI KEBIDANAN PGRI KEDIRI,D-III,7,
